timestamp,date,time,_id,sensor,Temperature,Occupancy,Light Level,Relative Humidity,Noise Level,Pressure
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d38c80132,H004LE,23.2,Unoccupied,0.04,47.3,35,1008.284986
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff20776db,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff21754c7,H019LN,19.4,Unoccupied,0,53,35,1019.469267
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff24f8c00,H019LN,19.4,Unoccupied,0,53,35,1019.469267
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff25fc25f,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff25fcbb5,H019LN,19.4,Unoccupied,0,53,35,1019.469267
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff2a77cc8,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff2a77e4f,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,08:06:40,0333a3699bdcda9c16ceeb6ff2a78ff3,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,08:06:40,0630a4971b646efb90f763b8c70fa67e,H013LE,20.1,Unoccupied,0.06,48.7,35,1018.182078
1.47E+12,03/09/2016,08:06:40,0630a4971b646efb90f763b8c70fd71e,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,03/09/2016,08:06:40,0630a4971b646efb90f763b8c72295db,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,10:53:20,0333a3699bdcda9c16ceeb6ff2e86190,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,10:53:20,0333a3699bdcda9c16ceeb6ff2e86a76,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
